Lat,Lon,Depth,Depth (KNNImputer),Depth (RF)
3.2479166666666686,4.431250000000006,-3495,-3495.0,-3494.59
3.285416666666663,4.431250000000006,-3485,-3484.14,-3484.74
3.3145833333333314,4.431250000000006,-3442,-3441.18,-3441.13
3.322916666666657,4.431250000000006,-3426,-3425.99,-3427.38
3.3729166666666686,4.431250000000006,-3217,-3217.86,-3219.6
3.3812499999999943,4.431250000000006,-3191,-3190.15,-3198.5
3.3979166666666742,4.431250000000006,-3203,-3199.33,-3199.7
3.4395833333333314,4.431250000000006,-3128,-3124.93,-3130.22
3.4854166666666515,4.431250000000006,-2872,-2870.41,-2870.83
3.5562500000000057,4.431250000000006,-2894,-2894.19,-2893.37
3.5604166666666686,4.431250000000006,-2898,-2899.4,-2896.41
3.614583333333343,4.431250000000006,-2926,-2925.48,-2926.33
2.6062499999999886,4.435416666666669,-3884,-3883.34,-3884.07
2.6312499999999943,4.435416666666669,-3817,-3813.55,-3815.78
2.7270833333333258,4.435416666666669,-3795,-3794.33,-3795.0
2.78125,4.435416666666669,-3772,-3782.78,-3773.02
2.7979166666666515,4.435416666666669,-3781,-3781.76,-3782.31
2.82708333333332,4.435416666666669,-3769,-3768.77,-3769.06
2.839583333333337,4.435416666666669,-3768,-3768.0,-3767.94
2.8520833333333258,4.435416666666669,-3765,-3764.06,-3764.19
2.902083333333337,4.435416666666669,-3752,-3750.73,-3750.16
2.95208333333332,4.435416666666669,-3689,-3689.28,-3688.53
2.9937500000000057,4.435416666666669,-3633,-3632.82,-3633.43
3.0854166666666742,4.435416666666669,-3525,-3525.61,-3524.62
3.2062500000000114,4.435416666666669,-3485,-3485.5,-3486.29
3.21875,4.435416666666669,-3486,-3486.3,-3485.84
3.2937499999999886,4.435416666666669,-3473,-3472.22,-3472.83
3.46875,4.435416666666669,-2904,-2906.25,-2902.85
3.59375,4.435416666666669,-2927,-2927.39,-2926.77
2.5645833333333314,4.439583333333331,-3826,-3825.32,-3828.68
2.57708333333332,4.439583333333331,-3810,-3812.48,-3809.77
2.65625,4.439583333333331,-3797,-3797.2,-3796.36
2.6812500000000057,4.439583333333331,-3832,-3829.63,-3828.85
2.697916666666657,4.439583333333331,-3807,-3805.15,-3806.12
2.722916666666663,4.439583333333331,-3796,-3795.37,-3795.39
2.7354166666666515,4.439583333333331,-3789,-3789.19,-3790.23
2.7979166666666515,4.439583333333331,-3778,-3777.15,-3777.35
2.8145833333333314,4.439583333333331,-3768,-3768.51,-3769.02
2.8312500000000114,4.439583333333331,-3766,-3767.08,-3767.07
2.8562499999999886,4.439583333333331,-3762,-3760.44,-3761.53
2.8979166666666742,4.439583333333331,-3747,-3747.7,-3748.56
2.902083333333337,4.439583333333331,-3751,-3748.47,-3750.0
2.910416666666663,4.439583333333331,-3754,-3752.1,-3753.03
3.010416666666657,4.439583333333331,-3615,-3613.67,-3615.13
3.0562500000000057,4.439583333333331,-3544,-3543.55,-3544.06
3.09375,4.439583333333331,-3520,-3521.48,-3520.53
3.1437500000000114,4.439583333333331,-3506,-3505.56,-3506.3
3.15625,4.439583333333331,-3507,-3508.23,-3506.9
3.214583333333337,4.439583333333331,-3482,-3481.97,-3482.95
3.2270833333333258,4.439583333333331,-3485,-3485.18,-3484.86
3.2520833333333314,4.439583333333331,-3485,-3485.6,-3485.48
3.302083333333343,4.439583333333331,-3455,-3454.26,-3455.17
3.3770833333333314,4.439583333333331,-3163,-3166.31,-3168.23
3.402083333333337,4.439583333333331,-3178,-3180.29,-3179.03
3.447916666666657,4.439583333333331,-3039,-3037.32,-3047.15
3.464583333333337,4.439583333333331,-2923,-2927.23,-2929.24
3.4812499999999886,4.439583333333331,-2878,-2877.62,-2878.48
3.5187500000000114,4.439583333333331,-2853,-2852.29,-2853.6
3.527083333333337,4.439583333333331,-2855,-2855.88,-2856.05
3.6229166666666686,4.439583333333331,-2916,-2916.66,-2916.24
3.6270833333333314,4.439583333333331,-2913,-2912.34,-2912.46
3.660416666666663,4.439583333333331,-2890,-2888.97,-2889.64
2.6104166666666515,4.443749999999994,-3881,-3879.22,-3881.07
2.677083333333343,4.443749999999994,-3844,-3844.89,-3840.54
2.71875,4.443749999999994,-3793,-3792.04,-3791.95
2.7437500000000057,4.443749999999994,-3784,-3783.02,-3783.64
2.7562499999999943,4.443749999999994,-3769,-3767.72,-3767.75
2.8562499999999886,4.443749999999994,-3759,-3757.53,-3758.85
2.8937500000000114,4.443749999999994,-3747,-3746.21,-3747.4
2.972916666666663,4.443749999999994,-3658,-3657.24,-3657.8
2.9854166666666515,4.443749999999994,-3646,-3644.52,-3645.19
3.0020833333333314,4.443749999999994,-3626,-3626.71,-3625.96
3.03125,4.443749999999994,-3579,-3580.09,-3578.82
3.035416666666663,4.443749999999994,-3572,-3570.62,-3571.69
3.09375,4.443749999999994,-3518,-3517.02,-3516.64
3.1645833333333258,4.443749999999994,-3518,-3517.88,-3518.03
3.222916666666663,4.443749999999994,-3480,-3479.97,-3480.33
3.2687500000000114,4.443749999999994,-3476,-3476.88,-3477.01
3.2937499999999886,4.443749999999994,-3461,-3462.71,-3459.83
3.2979166666666515,4.443749999999994,-3455,-3455.53,-3453.49
3.3312500000000114,4.443749999999994,-3398,-3392.99,-3402.07
3.3729166666666686,4.443749999999994,-3159,-3160.4,-3164.5
3.385416666666657,4.443749999999994,-3141,-3144.51,-3144.8
3.3937500000000114,4.443749999999994,-3151,-3149.67,-3152.43
3.3979166666666742,4.443749999999994,-3155,-3154.21,-3156.13
3.4437499999999943,4.443749999999994,-3057,-3058.39,-3061.18
3.45208333333332,4.443749999999994,-3002,-2998.5,-3006.28
3.4854166666666515,4.443749999999994,-2875,-2873.97,-2874.59
3.5187500000000114,4.443749999999994,-2852,-2852.08,-2853.04
3.5229166666666742,4.443749999999994,-2851,-2850.74,-2852.69
3.6020833333333258,4.443749999999994,-2926,-2926.38,-2925.83
3.6062499999999886,4.443749999999994,-2926,-2924.79,-2925.2
3.6479166666666742,4.443749999999994,-2897,-2897.06,-2897.24
2.6937499999999943,4.447916666666671,-3823,-3820.54,-3821.84
2.739583333333343,4.447916666666671,-3789,-3789.52,-3788.28
2.785416666666663,4.447916666666671,-3781,-3777.3,-3778.62
2.7979166666666515,4.447916666666671,-3774,-3774.29,-3774.08
2.822916666666657,4.447916666666671,-3761,-3762.16,-3762.37
2.839583333333337,4.447916666666671,-3763,-3762.42,-3762.25
2.8770833333333314,4.447916666666671,-3748,-3747.67,-3747.1
2.902083333333337,4.447916666666671,-3744,-3745.56,-3743.7
2.9562500000000114,4.447916666666671,-3681,-3680.53,-3681.56
3.0020833333333314,4.447916666666671,-3628,-3627.78,-3627.4
3.07708333333332,4.447916666666671,-3520,-3520.42,-3520.67
3.1187500000000057,4.447916666666671,-3509,-3509.6,-3508.87
3.15625,4.447916666666671,-3510,-3510.6,-3509.28
